Status,County,Area,Area Name,List #,Address,Price,Years Old,Agent ID,Beds,F. Baths,P. Baths,Style,Contact,Contact Phone,Office,Sold Price,Closing Date,Selling Agent ID,Selling Office ID
Active,EAL,202004,Lawrenceville,1026336,233 Main St,"449,000",114,214054,3,3,1,OVER 2,Bill Jacoby,412-400-3812,13220,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1009029,3408 Charlotte B,"425,000",0,218403,4,4,1,OVER 2,Christa Ross,724-309-1758,77608,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1024595,3605 Penn Avenue,"420,000",152,218403,3,2,1,OVER 2,Christa Ross,724-309-1758,77608,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1004708,5102 Stanton Avenue,"350,000",114,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,998714,5222 Holmes,"349,900",89,214513,4,2,1,OVER 2,Deb Friedman,412-848-8042,67301,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1022415,5156 Carnegie,"349,900",999,210959,3,3,1,OVER 2,Markay,412-716-4915,13601,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1004706,5106 Stanton Avenue,"345,000",114,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1015963,260 44TH STREET,"327,000",999,201105,3,3,1,OVER 2,TIRZAH,412.888-7048,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1004707,5104 Stanton Avenue,"325,000",114,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1005206,162 41st Street,"324,900",150,212542,3,1,  ,OVER 2,Agent,412 952 2458,13409,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1012418,5329 KEYSTONE STREET,"324,000",999,201105,3,2,1,OVER 2,TIRZAH,412.888-7048,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1021903,106 53rd,"299,900",75,201328,3,1,1,2 ST,Agent,412-980-5228,15105,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1024939,2908 PENN AVE,"295,000",999,201105,3,2,  ,OVER 2,TIRZAH,412.888-7048,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1025225,5428 Butler Street,"285,000",104,217215,3,1,1,OVER 2,Holly Sisk,412-377-0015,61801,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1016740,217 40th,"279,000",99,218415,4,2,  ,OVER 2,jim foley,412 310-3645,58201,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1005843,4219 Bessemer,"265,000",80,220135,3,2,  ,2 ST,Catherine,412-352-2692,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1025333,142 Banner Way,"249,000",134,216735,2,1,1,OVER 2,Jenn - Text,412-716-7641,77608,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1011650,140 Banner Way,"249,000",999,219394,2,1,1,OVER 2,Dean R Beisner,412-304-6620,13409,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1019597,3644 Penn Avenue 306,"242,000",2,217309,1,1,  ,M RISE,Kathy Wallace,412-855-8419,77601,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1026762,196 36th Street 3G,"235,000",9,220150,1,1,  ,M RISE,Mary Navarro,412-580-9090,13220,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1018952,158 Locarna,"234,999",999,215963,3,2,  ,2 ST,AGENT,412-973-0046,15105,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1004589,3908 Mintwood St,"234,900",113,211679,2,1,1,2 ST,Tara or Scott,412-952-7063,36701,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1015777,452 44th,"230,000",134,215594,4,2,0,OVER 2,Justin,412-418-0596,13409,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1025494,3807 Foster Street,"223,900",114,200858,3,2,  ,OVER 2,Jo Conrad,412-638-7933,10202,  ,  ,  ,  
